Depth	AC	CNL	DEN	GR	PE	RLLD	LIMSTONE	LIMSTON_BP	LIMSTON_DT	LIMSTON_SVM	LIMSTON_STACK	LIMSTON_RF	LIMSTON_ADA	LIMSTON_XGB	LIMSTON_GBC
3478.75	167.4329987	7.676	2.828999996	78.54399872	3.632999897	345.57501219999983	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3478.875	162.9629974	7.052	2.826999903	61.75799942	3.611000061	423.61700440000016	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3479.0	159.220993	6.233	2.822999954	43.93399811	3.552999973	490.9790039000001	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3479.125	157.4290009	5.671	2.816999912	32.25299835	3.500999928	500.13500980000003	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3479.25	157.9609985	5.632	2.811000109	29.03800011	3.483999968	455.49301150000025	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3479.375	159.7559967	6.076	2.805999994	34.57300186	3.486999989	388.2099914999999	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3479.5	162.0429993	6.81	2.801000118	45.1230011	3.486000061	323.20999150000017	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3479.625	164.5359955	7.602	2.799000025	55.51699829	3.474999905	271.0610046000001	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3479.75	166.8370056	8.261	2.801000118	61.8199997	3.461999893	236.34300230000002	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3479.875	168.904007	8.749	2.806999922	65.89800263	3.460999966	216.34199520000004	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3480.0	170.9429932	9.183	2.815000057	69.9509964	3.489000082	201.62199400000006	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3480.125	172.6430054	9.578	2.819999933	75.17700195	3.549000025	193.67900089999998	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3480.25	173.9530029	9.837	2.818000078	79.83899689	3.625999928	193.63000490000007	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3480.375	175.2510071	9.925	2.809000015	80.87999725	3.688999891	194.38299560000002	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
3480.5	176.3170013	9.948	2.799000025	80.93900299	3.710000038	198.99400329999992	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
